time,cancer_type,method,sample_size,n_imps,coverage,undefined_region_pct
365,UCEC,MSMI-Marginal,50,5,0.9808153477218226,16.6
730,UCEC,MSMI-Marginal,50,5,0.9734693877551021,2
1095,UCEC,MSMI-Marginal,50,5,0.9586776859504132,3.2
1460,UCEC,MSMI-Marginal,50,5,0.946236559139785,7.000000000000001
1825,UCEC,MSMI-Marginal,50,5,0.9311926605504587,12.8
365,UCEC,AJ,50,5,0.9688249400479616,16.6
730,UCEC,AJ,50,5,0.9634146341463414,1.6
1095,UCEC,AJ,50,5,0.9490835030549898,1.7999999999999998
1460,UCEC,AJ,50,5,0.9358178053830227,3.4000000000000004
1825,UCEC,AJ,50,5,0.9087048832271762,5.800000000000001
